n,table 1,table 2,table 3,average,backtrack 1,backtrack 2,backtrack 3,average,value 1,value 2,value 3
42100,0.0835339,0.084907,0.0835472,0.08399603333333333,0.0117703,0.0114189,0.0118344,0.011674533333333334,4474,4465,4486
43100,0.0824012,0.0828676,0.0838443,0.08303769999999999,0.0114696,0.0117152,0.0124347,0.011873166666666666,4475,4482,4681
44100,0.0851181,0.0897763,0.0875529,0.08748243333333333,0.0119625,0.0126585,0.0119457,0.012188899999999997,4488,4480,4675
45100,0.0884819,0.0889249,0.0881023,0.08850303333333333,0.0119111,0.0121049,0.0118162,0.011944066666666668,4488,4487,4583
46100,0.0899437,0.0889116,0.0893227,0.08939266666666668,0.014682,0.0123275,0.0125869,0.013198799999999998,4464,4498,4489
47100,0.0913699,0.0917205,0.0907238,0.0912714,0.0123434,0.0126516,0.0118763,0.012290433333333331,4547,4500,4480
48100,0.0970916,0.0911157,0.0941132,0.09410683333333332,0.012836,0.0127404,0.012927,0.012834466666666667,4494,4475,4683
49100,0.0955852,0.0954691,0.0958518,0.09563536666666667,0.0133999,0.013063,0.0126059,0.013022933333333334,4493,4476,4455
50100,0.0975963,0.0996177,0.0846991,0.09397103333333334,0.0130664,0.0071267,0.0149081,0.0117004,4486,4472,4483
51100,0.1000607,0.1018944,0.1012741,0.1010764,0.0137906,0.0147336,0.0136432,0.0140558,4545,4487,4669
52100,0.1046103,0.0906231,0.1042813,0.09983823333333335,0.0080808,0.0141669,0.0142178,0.012155166666666667,4665,4489,4485
53100,0.1050721,0.1045054,0.1029546,0.10417736666666666,0.0139948,0.0135135,0.0141609,0.013889733333333334,4600,4557,4488
54100,0.1069058,0.1062221,0.1072947,0.10680753333333333,0.0142252,0.0136673,0.014718,0.0142035,4699,4564,4642
55100,0.1100662,0.0933335,0.1065802,0.10332663333333335,0.0088622,0.0143158,0.0081528,0.010443599999999999,4492,4476,4493
56100,0.0941044,0.1091571,0.1134441,0.10556853333333334,0.0139714,0.0147115,0.0081692,0.012284033333333333,4501,4600,4481
57100,0.0992835,0.112839,0.0969805,0.10303433333333334,0.0142484,0.0079791,0.0151959,0.012474466666666665,4547,4489,4550
58100,0.1164712,0.113783,0.0958892,0.10871446666666666,0.0145839,0.0080579,0.0152727,0.012638166666666667,4575,4481,4492
59100,0.1174805,0.1152399,0.0981235,0.11028129999999998,0.015356,0.0091092,0.0148583,0.013107833333333332,4485,4564,4491
60100,0.1211129,0.09853,0.1009374,0.1068601,0.0086761,0.0086289,0.0089584,0.008754466666666667,4599,4684,4478
61100,0.1104356,0.1026796,0.1014331,0.10484943333333334,0.0088554,0.0091578,0.0089271,0.0089801,4604,4495,4483
62100,0.107065,0.1238233,0.106497,0.11246176666666667,0.0166374,0.0092183,0.0093273,0.01172766666666667,4487,4492,4542
63100,0.1104199,0.126565,0.1083253,0.11510340000000001,0.0161983,0.0097536,0.0095499,0.011833933333333333,4712,4609,4492
64100,0.1097995,0.1082315,0.1076615,0.10856416666666664,0.0098892,0.0092331,0.0102705,0.009797600000000002,4620,4596,4700
65100,0.1142325,0.1092424,0.1109322,0.11146903333333334,0.0097093,0.0096075,0.0097804,0.009699066666666667,4561,4647,4687
66100,0.1163364,0.1115516,0.1133352,0.11374106666666667,0.0102033,0.0097229,0.0093507,0.009758966666666665,4499,4549,4773
67100,0.1137533,0.1139922,0.1125999,0.11344846666666668,0.0097482,0.0103344,0.0096135,0.0098987,4483,4658,4728
68100,0.1118842,0.1201679,0.1131347,0.11506226666666668,0.0100666,0.0094418,0.0095775,0.0096953,4838,4732,4492
69100,0.1178538,0.1372238,0.1162519,0.12377650000000001,0.009742,0.0090945,0.0092434,0.009359966666666665,4599,4480,4544
70100,0.1176001,0.116573,0.1171282,0.11710043333333332,0.0099985,0.0102731,0.0097121,0.009994566666666668,4619,4761,4490
71100,0.1405796,0.1172871,0.1188751,0.12558060000000001,0.010033,0.0098491,0.0103289,0.010070333333333334,4680,4518,4689
72100,0.1237994,0.1192525,0.1435793,0.12887706666666665,0.0105578,0.021414,0.0188308,0.0169342,4532,4497,4507
73100,0.1437683,0.1238052,0.1457956,0.13778970000000001,0.0103716,0.0186598,0.0105792,0.013203533333333331,4496,4733,4692
74100,0.1249696,0.1251311,0.1227743,0.12429166666666668,0.0107498,0.0107322,0.01038,0.010620666666666667,4489,4486,4493
75100,0.1258574,0.1266937,0.1253401,0.12596373333333336,0.0109161,0.0111204,0.0104978,0.010844766666666667,4770,4652,4551
76100,0.1354439,0.1263594,0.1283346,0.13004596666666668,0.0112399,0.0117179,0.0110361,0.0113313,4689,4720,4682
77100,0.1314185,0.1279253,0.1297909,0.12971156666666667,0.0109693,0.0107566,0.0108526,0.0108595,4602,4732,4795
78100,0.1325345,0.1313131,0.1297679,0.13120516666666665,0.0111509,0.0110038,0.0110406,0.0110651,4721,4493,4567
79100,0.1379547,0.1315569,0.1316965,0.13373603333333334,0.0114399,0.0108348,0.0107916,0.0110221,4628,4496,4494
80100,0.1358372,0.1357813,0.1330641,0.1348942,0.011357,0.0113833,0.0110882,0.011276166666666665,4630,4671,4610
