n,table 1,table 2,table 3,average,backtrack 1,backtrack 2,backtrack 3,average,cache miss 1,cache miss 2,cache miss 3,average,cache hit 1,cache hit 2,cache hit 3,average
29100,0.209329667,0.20908375,0.2545205,0.22431130566666665,0.003103083,0.003080042,0.005736625,0.00397325,26017808,26000052,26013086,26010315.333333332,6616817,6568113,6691063,6625331
30100,0.249288584,0.219231625,0.236618167,0.23504612533333336,0.00377675,0.00495875,0.017807458,0.008847652666666667,26927930,26886782,26924727,26913146.333333332,6805294,6816934,6868773,6830333.666666667
31100,0.344268166,0.2286075,0.251825333,0.274900333,0.003618875,0.003016042,0.006313916,0.004316277666666667,27827752,27800339,27799065,27809052,7112150,7076782,7006669,7065200.333333333
32100,0.240305792,0.231193542,0.234608417,0.23536925033333334,0.003309417,0.002838709,0.004467583,0.003538569666666667,28705263,28696636,28698173,28700024,7210315,7255056,7203115,7222828.666666667
33100,0.240173084,0.240035042,0.239357375,0.239855167,0.004234667,0.006384583,0.003531167,0.0047168056666666664,29627367,29645049,29597988,29623468,7502958,7434000,7467464,7468140.666666667
34100,0.248794917,0.244594333,0.245027708,0.24613898599999998,0.004106709,0.003398083,0.003151458,0.003552083333333333,30530248,30530934,30488628,30516603.333333332,7745604,7758274,7778196,7760691.333333333
35100,0.2595195,0.255431875,0.252920833,0.25595740266666667,0.004818084,0.00374775,0.003500458,0.004022097333333334,31381633,31392755,31400965,31391784.333333332,7990765,7898420,7922239,7937141.333333333
36100,0.261848042,0.260779917,0.259830583,0.26081951400000003,0.006379667,0.003315916,0.003378375,0.004357986,32312732,32271536,32304362,32296210,8282685,8254325,8175948,8237652.666666667
37100,0.270544459,0.267107083,0.266473583,0.26804170833333335,0.006158709,0.004056792,0.004023417,0.004746306,33234500,33202009,33185504,33207337.666666668,8447037,8351420,8413173,8403876.666666666
38100,0.343158209,0.284022792,0.326063625,0.3177482086666667,0.007759584,0.003280458,0.005445625,0.005495222333333333,34113414,34133181,34122934,34123176.333333336,8641933,8765264,8636300,8681165.666666666
39100,0.296305416,0.290148625,0.288172042,0.29154202766666665,0.004768209,0.007528083,0.006570625,0.0062889723333333335,35045365,35032142,35014663,35030723.333333336,8864781,8827124,8910164,8867356.333333334
40100,0.290342959,0.289671459,0.289962083,0.289992167,0.00384325,0.003722292,0.003794416,0.0037866526666666665,35897866,35916626,35892756,35902416,9145855,9038809,9076555,9087073
41100,0.300889792,0.297501166,0.307543959,0.30197830566666667,0.005745916,0.005412042,0.005723,0.005626986,36840413,36836953,36806139,36827835,9261379,9221228,9381030,9287879
42100,0.308891166,0.30587175,0.309881167,0.3082146943333333,0.005461958,0.003913875,0.005463541,0.004946458,37734092,37699195,37710344,37714543.666666664,9524834,9524281,9508464,9519193
43100,0.309169916,0.314098125,0.314337209,0.31253508333333335,0.004774875,0.006309291,0.004814375,0.005299513666666666,38544055,38655152,38632555,38610587.333333336,9804188,9825819,9822061,9817356
44100,0.323845958,0.32242125,0.319189625,0.3218189443333333,0.005206125,0.004781583,0.004093292,0.004693666666666666,39512695,39509215,39522768,39514892.666666664,9938360,10049731,10056293,10014794.666666666
45100,0.328101459,0.328835084,0.330558875,0.3291651393333333,0.004871209,0.005045459,0.00802475,0.005980472666666667,40458380,40449095,40415235,40440903.333333336,10137452,10328259,10205217,10223642.666666666
46100,0.333069041,0.332594375,0.333904666,0.33318936066666666,0.004376042,0.004379833,0.004537167,0.004431014,41285345,41298566,41299957,41294622.666666664,10560936,10472312,10490764,10508004
47100,0.350500125,0.345048083,0.344976167,0.3468414583333333,0.010252458,0.005073,0.007696583,0.007674013666666667,42157781,42223607,42221475,42200954.333333336,10729677,10696483,10713007,10713055.666666666
48100,0.3478945,0.348793791,0.3454825,0.34739026366666675,0.00527525,0.00501975,0.004519125,0.004938041666666667,43131800,43132932,43070960,43111897.333333336,11065500,11014656,10756414,10945523.333333334
49100,0.355645125,0.355536667,0.354948583,0.35537679166666664,0.005211584,0.005674791,0.005300333,0.005395569333333333,44049742,44020083,44010800,44026875,11150541,11178846,11080811,11136732.666666666
50100,0.365457709,0.362711292,0.367464459,0.36521115333333337,0.004737709,0.004459417,0.005302208,0.004833111333333333,44952922,44902231,44936324,44930492.333333336,11384941,11438163,11417416,11413506.666666666
51100,0.378823875,0.370912917,0.369176958,0.37297125,0.006906958,0.006921292,0.005652125,0.006493458333333334,45845469,45821007,45800757,45822411,11572872,11639914,11587405,11600063.666666666
52100,0.378556917,0.375957875,0.374692958,0.3764025833333333,0.005925709,0.004637417,0.004891708,0.005151611333333333,46746767,46671988,46750518,46723091,11915484,11986351,11977260,11959698.333333334
53100,0.386993584,0.385927708,0.429775958,0.4008990833333333,0.009320167,0.007054833,0.006210625,0.007528541666666667,47646890,47631324,47632611,47636941.666666664,12160943,12171388,12102624,12144985
54100,0.401522584,0.402305791,0.400410209,0.40141286133333337,0.008741583,0.007483459,0.00923425,0.008486430666666668,48523794,48525236,48505622,48518217.333333336,12329225,12330323,12352998,12337515.333333334
55100,0.401860167,0.401543958,0.401081333,0.40149515266666663,0.006951333,0.006301291,0.007958667,0.007070430333333333,49458419,49434290,49452702,49448470.333333336,12609144,12775156,12541210,12641836.666666666
56100,0.413640167,0.41046325,0.465136875,0.42974676400000006,0.005465584,0.006530125,0.007567042,0.006520917,50335122,50300727,50324907,50320252,12812204,12796869,12731880,12780317.666666666
57100,0.424226833,0.416288167,0.433987958,0.4248343193333333,0.007836542,0.006501333,0.008820416,0.0077194303333333325,51241178,51226039,51230012,51232409.666666664,13063418,13072720,12888271,13008136.333333334
58100,0.425582459,0.428293667,0.422299417,0.4253918476666667,0.005636833,0.005740042,0.005743333,0.005706736,52159887,52110346,52116569,52128934,13203626,13186283,13311498,13233802.333333334
59100,0.435149833,0.435062667,0.443500084,0.4379041946666667,0.006232167,0.005594292,0.00702225,0.006282903,53060740,53029357,53067631,53052576,13626450,13434864,13451432,13504248.666666666
60100,0.697509584,1.159217334,0.543845083,0.800190667,0.026898625,0.043317,0.008978709,0.026398111333333335,53942868,53948252,53893206,53928108.666666664,13769812,13809513,13629910,13736411.666666666
61100,0.472452417,0.469930042,0.504385,0.4822558196666667,0.009179208,0.009608917,0.012516209,0.010434778,54847361,54856310,54829590,54844420.333333336,13834605,13866326,14033501,13911477.333333334
62100,0.497781667,0.675027541,0.770185334,0.6476648473333333,0.008598375,0.010541083,0.009797042,0.0096455,55763317,55700350,55727631,55730432.666666664,14241627,14146055,14157773,14181818.333333334
63100,0.6979455,0.767985208,0.728865834,0.7315988473333334,0.008565,0.01416625,0.01543025,0.012720500000000001,56643106,56621985,56625115,56630068.666666664,14462097,14364085,14424590,14416924
64100,0.821424125,0.905176375,0.730900083,0.8191668609999999,0.010973208,0.013753292,0.014259916,0.012995472,57538447,57515372,57511960,57521926.333333336,14578534,14654438,14679322,14637431.333333334
65100,0.758930792,0.685711791,0.497597,0.6474131943333333,0.009384583,0.010941375,0.006917625,0.009081194333333332,58420011,58456296,58444566,58440291,14819141,14921394,14797202,14845912.333333334
66100,0.490915083,0.539491917,0.486329459,0.5055788196666666,0.009957708,0.007331083,0.007707083,0.008331957999999999,59331089,59380199,59333025,59348104.333333336,15077389,15319622,15125581,15174197.333333334
67100,0.500308625,0.664114042,0.615561458,0.5933280416666666,0.006487833,0.007978333,0.007629458,0.007365208000000001,60251117,60219268,60268419,60246268,15328313,15385184,15433638,15382378.333333334
68100,0.509902083,0.503682292,0.578787125,0.5307905,0.006976875,0.008997166,0.011451667,0.009141902666666667,61164484,61132858,61164264,61153868.666666664,15596220,15577266,15562018,15578501.333333334
69100,0.530590375,0.574898333,0.544500916,0.5499965413333333,0.011171375,0.008639292,0.007386291,0.009065652666666667,62072104,62024345,62058562,62051670.333333336,15880369,15776345,15682679,15779797.666666666
70100,0.516559166,0.529751375,0.5412135,0.5291746803333334,0.01254525,0.012686084,0.007097417,0.010776250333333334,62933030,62972877,62974199,62960035.333333336,15883199,16060659,15972889,15972249
71100,0.552767958,0.62781,0.557707583,0.5794285136666667,0.009950542,0.007553083,0.011873708,0.009792444333333334,63836232,63819837,63857104,63837724.333333336,16202659,16163434,16212509,16192867.333333334
72100,0.712955959,0.581475209,0.5297345,0.6080552226666667,0.009562,0.007859375,0.007047084,0.008156153,64726969,64770987,64713167,64737041,16425404,16512114,16549081,16495533
73100,0.651986834,0.545181292,0.598923417,0.598697181,0.010264917,0.013512375,0.010275333,0.011350874999999998,65633504,65676559,65635959,65648674,16646412,16779490,16713867,16713256.333333334
74100,0.805766209,0.569918208,0.563915416,0.6465332776666667,0.02521775,0.008061709,0.010637458,0.014638972333333333,66536170,66530876,66582464,66549836.666666664,16783396,16773953,16879001,16812116.666666668
75100,0.558385875,0.626413625,0.568844542,0.584548014,0.011030708,0.007587041,0.010361458,0.009659735666666667,67467112,67471292,67476826,67471743.33333333,17204091,17022513,17283512,17170038.666666668
76100,0.737682834,0.680156042,0.586336917,0.6680585976666666,0.009125958,0.013091417,0.010773792,0.010997055666666667,68369593,68341274,68316596,68342487.66666667,17459430,17312784,17380856,17384356.666666668
77100,0.623676834,0.573869917,0.588473333,0.595340028,0.010588167,0.010500042,0.012398917,0.011162375333333334,69225344,69281076,69253073,69253164.33333333,17620385,17705489,17694832,17673568.666666668
78100,0.678700375,0.690298833,0.709699375,0.6928995276666666,0.013668917,0.092095417,0.010969417,0.038911250333333335,70164741,70187375,70162519,70171545,17766220,17920853,17767658,17818243.666666668
79100,0.606510541,0.619168584,0.660201625,0.6286269166666667,0.0166415,0.014703958,0.009253958,0.013533138666666666,71042495,71030344,71049839,71040892.66666667,17972787,18109651,18067935,18050124.333333332
80100,0.594056958,0.604623667,0.612882375,0.6038543333333334,0.007695542,0.010586375,0.012226125,0.010169347333333334,71908066,71920649,71956302,71928339,18062732,18386154,18234548,18227811.333333332
81100,0.598147,0.699422041,0.670221334,0.6559301249999999,0.01036175,0.028461833,0.010821375,0.016548319333333332,72866086,72850924,72881355,72866121.66666667,18615099,18599281,18545281,18586553.666666668
82100,1.169177125,1.32475925,0.800632833,1.098189736,0.039331458,0.009186083,0.015358375,0.021291972000000003,73766682,73780103,73786264,73777683,18880962,18718309,18789220,18796163.666666668
83100,0.758177791,0.712096459,0.681120792,0.7171316806666667,0.036957125,0.012120667,0.008064291,0.019047361000000002,74682538,74676678,74639029,74666081.66666667,18948779,19095919,18958916,19001204.666666668
