n,trial 1,trial 2,trial 3,average,value 1,value 2,value 3
71100,0.000628917,0.000625334,0.000642625,0.000632292,2000,1500,1000
72100,0.000636125,0.000638292,0.000638666,0.0006376943333333333,1000,1500,1000
73100,0.000643417,0.00064725,0.000641167,0.0006439446666666667,1500,1500,1000
74100,0.000666417,0.000655291,0.000649375,0.0006570276666666668,500,1000,1000
75100,0.000656917,0.0006745,0.00067025,0.0006672223333333334,1000,1500,2000
76100,0.00066825,0.000686084,0.000664791,0.0006730416666666667,1500,2500,1500
77100,0.000690875,0.000687167,0.000677166,0.0006850693333333332,1000,1000,1000
78100,0.000682208,0.000687125,0.000684375,0.0006845693333333334,1500,1500,1500
79100,0.000694375,0.000704917,0.000693542,0.0006976113333333334,1000,1000,1000
80100,0.000704083,0.000722209,0.000702958,0.00070975,1500,1500,2500
81100,0.000742542,0.000740792,0.000702792,0.0007287086666666666,1500,1500,1000
82100,0.000792,0.000712125,0.000711625,0.0007385833333333333,1500,2000,1500
83100,0.00072025,0.000724417,0.000725542,0.0007234030000000001,2000,500,500
84100,0.000724459,0.000733375,0.00072675,0.0007281946666666666,1500,2000,2498
85100,0.000741208,0.000745459,0.000732667,0.000739778,2000,1000,1000
86100,0.000748125,0.000792416,0.000750959,0.0007638333333333334,1000,500,1500
87100,0.000753333,0.000751542,0.000754208,0.0007530276666666667,1000,1500,1500
88100,0.000791708,0.00077975,0.000768875,0.000780111,1000,500,1000
89100,0.000777375,0.000766,0.000772042,0.0007718056666666667,1000,1500,1500
90100,0.000798208,0.000781,0.000785208,0.0007881386666666666,1000,1500,1500
91100,0.000849167,0.000834084,0.000786625,0.0008232920000000001,1500,2000,1500
92100,0.000832792,0.000806,0.000832916,0.0008239026666666667,1000,1500,2000
93100,0.000816625,0.000812834,0.000805834,0.0008117643333333332,2000,1500,2500
94100,0.000833208,0.000860375,0.000810708,0.0008347636666666667,1500,1000,1000
95100,0.00083575,0.00081425,0.000820292,0.0008234306666666666,1500,1500,1000
96100,0.00082875,0.000826959,0.000831208,0.0008289723333333334,500,1000,1500
97100,0.000934375,0.000877375,0.000834583,0.000882111,1500,1000,500
98100,0.000842875,0.0008455,0.000852375,0.0008469166666666667,1000,1500,1000
99100,0.000873958,0.000852958,0.000857833,0.000861583,1500,1000,1500
100000,0.000868125,0.000889708,0.000865292,0.000874375,1000,2000,500
