n,trial 1,trial 2,trial 3,average,value 1,value 2,value 3
71100,0.0031344,0.0030243,0.003059,0.0030725666666666664,4464,4435,4413
72100,0.003549,0.0034892,0.0035407,0.0035262999999999996,4351,4454,4432
73100,0.0032898,0.0032107,0.0031218,0.0032074333333333336,4468,4437,4441
74100,0.0032245,0.0030753,0.0030655,0.0031217666666666665,4412,4435,4452
75100,0.0031494,0.0031589,0.0031624,0.0031569000000000002,4434,4410,4420
76100,0.0032318,0.0031965,0.0031713,0.0031998666666666667,4432,4430,4389
77100,0.0032662,0.0032091,0.0035451,0.003340133333333333,4413,4427,4464
78100,0.0032889,0.0032988,0.003289,0.0032922333333333335,4425,4435,4396
79100,0.0034021,0.0033316,0.003335,0.0033562333333333333,4436,4455,4455
80100,0.003378,0.0033868,0.0033892,0.0033846666666666665,4386,4406,4445
81100,0.0034992,0.0033738,0.0037695,0.0035475000000000003,4459,4420,4412
82100,0.0034545,0.0034646,0.0034778,0.0034656333333333337,4440,4451,4446
83100,0.0035102,0.0034636,0.0034409,0.003471566666666667,4419,4455,4399
84100,0.0035668,0.003615,0.0036437,0.0036085,4466,4436,4458
85100,0.0036391,0.003689,0.0036631,0.0036637333333333333,4461,4426,4434
86100,0.0040101,0.0038735,0.0036465,0.003843366666666667,4394,4438,4422
87100,0.0036932,0.0035757,0.0036571,0.003642,4408,4430,4437
88100,0.0038397,0.0036578,0.0036833,0.0037269333333333336,4418,4461,4454
89100,0.0039683,0.0037436,0.0036782,0.0037967,4425,4426,4451
90100,0.0039572,0.0038521,0.0040068,0.0039387,4467,4452,4413
91100,0.0038873,0.0039044,0.0038712,0.0038876333333333333,4413,4445,4458
92100,0.0039166,0.0038781,0.0038565,0.0038837333333333335,4476,4433,4463
93100,0.0040028,0.0040275,0.0040104,0.004013566666666667,4441,4432,4390
94100,0.0041927,0.0041872,0.004051,0.004143633333333333,4410,4417,4456
95100,0.0041312,0.0040864,0.0041544,0.004123999999999999,4443,4457,4438
96100,0.0041576,0.0040854,0.0041363,0.004126433333333333,4444,4421,4445
97100,0.0041138,0.0040817,0.0041399,0.0041118,4460,4432,4442
98100,0.0041351,0.0040829,0.0041165,0.0041115,4378,4437,4465
99100,0.0044737,0.0046489,0.004213,0.0044452,4391,4405,4469
100000,0.0042827,0.0042614,0.0042456,0.004263233333333334,4433,4444,4466
